agg_code,dig_code,dig_desc,count
33,332310,Plate work and fabricated structural product manufacturing,1
33,332320,Ornamental and architectural metal products manufacturing,1
33,332410,Power boiler and heat exchanger manufacturing,1
33,332420,Metal tank (heavy gauge) manufacturing,1
33,332430,"Metal can, box, and other metal container (light gauge) manufacturing",1
33,332500,Hardware manufacturing,1
33,332600,Spring and wire product manufacturing,1
33,332710,Machine shops,1
33,332720,"Turned product and screw, nut, and bolt manufacturing",1
33,332800,"Coating, engraving, heat treating and allied activities",1
33,332913,Plumbing fixture fitting and trim manufacturing,1
33,33291A,Valve and fittings other than plumbing,1
33,332991,Ball and roller bearing manufacturing,1
33,332996,Fabricated pipe and pipe fitting manufacturing,1
33,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",1
33,33299B,Other fabricated metal manufacturing,1
33,333111,Farm machinery and equipment manufacturing,1
33,333112,Lawn and garden equipment manufacturing,1
33,333120,Construction machinery manufacturing,1
33,333130,Mining and oil and gas field machinery manufacturing,1
33,333220,Plastics and rubber industry machinery manufacturing,1
33,333295,Semiconductor machinery manufacturing,1
33,33329A,Other industrial machinery manufacturing,1
33,333313,Office machinery manufacturing,1
33,333314,Optical instrument and lens manufacturing,1
33,333315,Photographic and photocopying equipment manufacturing,1
33,33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",1
33,333414,Heating equipment (except warm air furnaces) manufacturing,1
33,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",1
33,33341A,Air purification and ventilation equipment manufacturing,1
33,333511,Industrial mold manufacturing,1
33,333514,"Special tool, die, jig, and fixture manufacturing",1
33,33351A,Metal cutting and forming machine tool manufacturing,1
33,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",1
33,333611,Turbine and turbine generator set units manufacturing,1
33,333612,"Speed changer, industrial high-speed drive, and gear manufacturing",1
33,333613,Mechanical power transmission equipment manufacturing,1
33,333618,Other engine equipment manufacturing,1
33,333912,Air and gas compressor manufacturing,1
33,33391A,Pump and pumping equipment manufacturing,1
33,333920,Material handling equipment manufacturing,1
33,333991,Power-driven handtool manufacturing,1
33,333993,Packaging machinery manufacturing,1
33,333994,Industrial process furnace and oven manufacturing,1
33,33399A,Other general purpose machinery manufacturing,1
