yk,yk_code,yk_desc,dig_code,dig_desc,pro,tra,who,ret,pur
3,F02N00,Nonresidential private fixed investment in intellectual property products,515100,Radio and television broadcasting,7929,0,0,0,7929
3,F02N00,Nonresidential private fixed investment in intellectual property products,515200,Cable and other subscription programming,12055,0,0,0,12055
3,F02N00,Nonresidential private fixed investment in intellectual property products,541511,Custom computer programming services,173861,0,0,0,173861
3,F02N00,Nonresidential private fixed investment in intellectual property products,541700,Scientific research and development services,223318,0,0,0,223318
3,F02N00,Nonresidential private fixed investment in intellectual property products,541920,Photographic services,1240,0,0,0,1240
3,F02N00,Nonresidential private fixed investment in intellectual property products,711100,Performing arts companies,3631,0,0,0,3631
3,F02N00,Nonresidential private fixed investment in intellectual property products,711500,"Independent artists, writers, and performers",400,0,0,0,400
3,F02N00,Nonresidential private fixed investment in intellectual property products,S00300,Noncomparable imports,4799,0,0,0,4799
4,F02R00,Residential private fixed investment,233411,Single-family residential structures,305185,0,0,0,305185
4,F02R00,Residential private fixed investment,233412,Multifamily residential structures,48959,0,0,0,48959
4,F02R00,Residential private fixed investment,2334A0,Other residential structures,174521,0,0,0,174521
4,F02R00,Residential private fixed investment,3219A0,All other wood product manufacturing,5723,263,801,2608,9395
4,F02R00,Residential private fixed investment,334300,Audio and video equipment manufacturing,364,6,51,34,455
4,F02R00,Residential private fixed investment,335210,Small electrical appliance manufacturing,25,4,4,1,34
4,F02R00,Residential private fixed investment,335221,Household cooking appliance manufacturing,2009,45,280,89,2422
4,F02R00,Residential private fixed investment,335222,Household refrigerator and home freezer manufacturing,2237,59,312,99,2706
4,F02R00,Residential private fixed investment,335228,Other major household appliance manufacturing,643,12,90,28,773
4,F02R00,Residential private fixed investment,337121,Upholstered household furniture manufacturing,120,20,16,25,180
4,F02R00,Residential private fixed investment,337122,Nonupholstered wood household furniture manufacturing,175,29,23,36,263
4,F02R00,Residential private fixed investment,33712A,Other household nonupholstered furniture,42,7,6,9,63
4,F02R00,Residential private fixed investment,337215,"Showcase, partition, shelving, and locker manufacturing",6,1,1,1,10
4,F02R00,Residential private fixed investment,337900,Other furniture related product manufacturing,73,12,10,15,110
4,F02R00,Residential private fixed investment,314110,Carpet and rug mills,953,49,315,1340,2656
4,F02R00,Residential private fixed investment,326150,Urethane and other foam product (except polystyrene) manufacturing,7,0,4,154,165
4,F02R00,Residential private fixed investment,326290,Other rubber product manufacturing,17,0,2,19,39
4,F02R00,Residential private fixed investment,420000,Wholesale trade,1912,0,0,0,0
4,F02R00,Residential private fixed investment,441000,Motor vehicle and parts dealers,15,0,0,0,0
4,F02R00,Residential private fixed investment,445000,Food and beverage stores,1,0,0,0,0
4,F02R00,Residential private fixed investment,452000,General merchandise stores,187,0,0,0,0
4,F02R00,Residential private fixed investment,4A0000,Other retail,4254,0,0,0,0
4,F02R00,Residential private fixed investment,481000,Air transportation,28,0,0,0,0
4,F02R00,Residential private fixed investment,482000,Rail transportation,36,0,0,0,0
4,F02R00,Residential private fixed investment,483000,Water transportation,0,0,0,0,0
4,F02R00,Residential private fixed investment,484000,Truck transportation,443,0,0,0,0
4,F02R00,Residential private fixed investment,524100,Insurance carriers,10531,0,0,0,10531
4,F02R00,Residential private fixed investment,531ORE,Other real estate,108334,0,0,0,108334
4,F02R00,Residential private fixed investment,541100,Legal services,23674,0,0,0,23674
4,F02R00,Residential private fixed investment,541300,"Architectural, engineering, and related services",2183,0,0,0,2183
4,F02R00,Residential private fixed investment,S00402,Used and secondhand goods,-3980,0,0,0,-3980
5,F06S00,Federal national defense: Gross investment in structures,233210,Health care structures,620,0,0,0,620
5,F06S00,Federal national defense: Gross investment in structures,233230,Manufacturing structures,339,0,0,0,339
5,F06S00,Federal national defense: Gross investment in structures,233240,Power and communication structures,270,0,0,0,270
5,F06S00,Federal national defense: Gross investment in structures,233262,Educational and vocational structures,234,0,0,0,234
5,F06S00,Federal national defense: Gross investment in structures,233293,Highways and streets,416,0,0,0,416
5,F06S00,Federal national defense: Gross investment in structures,2332A0,"Commercial structures, including farm structures",1909,0,0,0,1909
5,F06S00,Federal national defense: Gross investment in structures,2332B0,Other nonresidential structures,3481,0,0,0,3481
5,F06S00,Federal national defense: Gross investment in structures,233411,Single-family residential structures,1998,0,0,0,1998
5,F06S00,Federal national defense: Gross investment in structures,233412,Multifamily residential structures,613,0,0,0,613
5,F06S00,Federal national defense: Gross investment in structures,2334A0,Other residential structures,135,0,0,0,135
5,F06S00,Federal national defense: Gross investment in structures,S00402,Used and secondhand goods,-4,0,0,0,-4
6,F06E00,Federal national defense: Gross investment in equipment,332200,Cutlery and handtool manufacturing,2,0,1,0,3
6,F06E00,Federal national defense: Gross investment in equipment,332430,"Metal can, box, and other metal container (light gauge) manufacturing",2,0,0,0,2
6,F06E00,Federal national defense: Gross investment in equipment,33291A,Valve and fittings other than plumbing,218,5,68,0,291
6,F06E00,Federal national defense: Gross investment in equipment,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",1744,40,372,0,2156
6,F06E00,Federal national defense: Gross investment in equipment,332996,Fabricated pipe and pipe fitting manufacturing,1,0,0,0,1
6,F06E00,Federal national defense: Gross investment in equipment,33299B,Other fabricated metal manufacturing,3,0,0,0,4
6,F06E00,Federal national defense: Gross investment in equipment,333111,Farm machinery and equipment manufacturing,1,0,0,0,1
6,F06E00,Federal national defense: Gross investment in equipment,333112,Lawn and garden equipment manufacturing,2,0,0,0,3
6,F06E00,Federal national defense: Gross investment in equipment,333120,Construction machinery manufacturing,85,2,13,0,100
6,F06E00,Federal national defense: Gross investment in equipment,33329A,Other industrial machinery manufacturing,13,0,2,0,16
6,F06E00,Federal national defense: Gross investment in equipment,333220,Plastics and rubber industry machinery manufacturing,1,0,0,0,1
6,F06E00,Federal national defense: Gross investment in equipment,33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",221,5,84,0,310
6,F06E00,Federal national defense: Gross investment in equipment,333313,Office machinery manufacturing,0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,333314,Optical instrument and lens manufacturing,438,10,111,0,559
6,F06E00,Federal national defense: Gross investment in equipment,333315,Photographic and photocopying equipment manufacturing,3,0,1,0,4
6,F06E00,Federal national defense: Gross investment in equipment,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",194,5,61,0,260
6,F06E00,Federal national defense: Gross investment in equipment,33351A,Metal cutting and forming machine tool manufacturing,5,0,1,0,6
6,F06E00,Federal national defense: Gross investment in equipment,333611,Turbine and turbine generator set units manufacturing,58,1,9,0,68
6,F06E00,Federal national defense: Gross investment in equipment,33391A,Pump and pumping equipment manufacturing,254,6,40,0,300
6,F06E00,Federal national defense: Gross investment in equipment,333912,Air and gas compressor manufacturing,16,0,2,0,19
6,F06E00,Federal national defense: Gross investment in equipment,333920,Material handling equipment manufacturing,58,1,9,0,69
6,F06E00,Federal national defense: Gross investment in equipment,333991,Power-driven handtool manufacturing,0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,33399A,Other general purpose machinery manufacturing,14,0,2,0,17
6,F06E00,Federal national defense: Gross investment in equipment,33399B,Fluid power process machinery,48,1,8,0,57
6,F06E00,Federal national defense: Gross investment in equipment,334111,Electronic computer manufacturing,1687,24,291,0,2001
6,F06E00,Federal national defense: Gross investment in equipment,334112,Computer storage device manufacturing,319,4,55,0,378
6,F06E00,Federal national defense: Gross investment in equipment,33411A,Computer terminals and other computer peripheral equipment manufacturing,427,6,74,0,506
6,F06E00,Federal national defense: Gross investment in equipment,334210,Telephone apparatus manufacturing,1365,19,316,0,1700
6,F06E00,Federal national defense: Gross investment in equipment,334220,Broadcast and wireless communications equipment,7518,104,1854,0,9475
6,F06E00,Federal national defense: Gross investment in equipment,334290,Other communications equipment manufacturing,40,1,10,0,51
6,F06E00,Federal national defense: Gross investment in equipment,334510,Electromedical and electrotherapeutic apparatus manufacturing,401,6,130,0,537
6,F06E00,Federal national defense: Gross investment in equipment,334511,"Search, detection, and navigation instruments manufacturing",13496,196,1467,0,15159
6,F06E00,Federal national defense: Gross investment in equipment,334513,Industrial process variable instruments manufacturing,4,0,0,0,4
6,F06E00,Federal national defense: Gross investment in equipment,334515,Electricity and signal testing instruments manufacturing,2301,57,250,0,2608
6,F06E00,Federal national defense: Gross investment in equipment,334517,Irradiation apparatus manufacturing,168,2,47,0,217
6,F06E00,Federal national defense: Gross investment in equipment,335210,Small electrical appliance manufacturing,3,0,0,0,4
6,F06E00,Federal national defense: Gross investment in equipment,335221,Household cooking appliance manufacturing,2,0,0,0,2
6,F06E00,Federal national defense: Gross investment in equipment,335311,"Power, distribution, and specialty transformer manufacturing",0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,335312,Motor and generator manufacturing,8,0,2,0,10
6,F06E00,Federal national defense: Gross investment in equipment,335314,Relay and industrial control manufacturing,305,4,76,0,385
6,F06E00,Federal national defense: Gross investment in equipment,335920,Communication and energy wire and cable manufacturing,6,0,2,0,8
6,F06E00,Federal national defense: Gross investment in equipment,335999,All other miscellaneous electrical equipment and component manufacturing,419,6,104,0,529
6,F06E00,Federal national defense: Gross investment in equipment,336111,Automobile manufacturing,14,0,2,0,16
6,F06E00,Federal national defense: Gross investment in equipment,336112,Light truck and utility vehicle manufacturing,7,0,0,0,7
6,F06E00,Federal national defense: Gross investment in equipment,336120,Heavy duty truck manufacturing,400,7,11,0,417
6,F06E00,Federal national defense: Gross investment in equipment,336212,Truck trailer manufacturing,70,1,6,0,78
6,F06E00,Federal national defense: Gross investment in equipment,336411,Aircraft manufacturing,12015,171,362,0,12548
6,F06E00,Federal national defense: Gross investment in equipment,336412,Aircraft engine and engine parts manufacturing,332,5,10,0,347
6,F06E00,Federal national defense: Gross investment in equipment,336414,Guided missile and space vehicle manufacturing,3565,51,107,0,3723
6,F06E00,Federal national defense: Gross investment in equipment,336500,Railroad rolling stock manufacturing,8,0,0,0,8
6,F06E00,Federal national defense: Gross investment in equipment,336611,Ship building and repairing,7707,109,187,0,8003
6,F06E00,Federal national defense: Gross investment in equipment,336612,Boat building,81,1,2,0,84
6,F06E00,Federal national defense: Gross investment in equipment,336992,"Military armored vehicle, tank, and tank component manufacturing",5457,77,106,0,5640
6,F06E00,Federal national defense: Gross investment in equipment,336999,All other transportation equipment manufacturing,48,1,1,0,49
6,F06E00,Federal national defense: Gross investment in equipment,337122,Nonupholstered wood household furniture manufacturing,0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,337127,Institutional furniture manufacturing,0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,1,0,0,0,1
6,F06E00,Federal national defense: Gross investment in equipment,337215,"Showcase, partition, shelving, and locker manufacturing",0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,339112,Surgical and medical instrument manufacturing,59,1,19,0,78
6,F06E00,Federal national defense: Gross investment in equipment,339113,Surgical appliance and supplies manufacturing,9,0,3,0,11
6,F06E00,Federal national defense: Gross investment in equipment,339114,Dental equipment and supplies manufacturing,50,1,16,0,67
6,F06E00,Federal national defense: Gross investment in equipment,339920,Sporting and athletic goods manufacturing,0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,339950,Sign manufacturing,0,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,339990,All other miscellaneous manufacturing,13,2,5,0,19
6,F06E00,Federal national defense: Gross investment in equipment,420000,Wholesale trade,6300,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,481000,Air transportation,167,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,482000,Rail transportation,20,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,483000,Water transportation,4,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,484000,Truck transportation,743,0,0,0,0
6,F06E00,Federal national defense: Gross investment in equipment,541512,Computer systems design services,1837,0,0,0,1837
6,F06E00,Federal national defense: Gross investment in equipment,S00402,Used and secondhand goods,0,0,0,0,0
7,F06N00,Federal national defense: Gross investment in intellectual property products,420000,Wholesale trade,217,0,0,0,0
7,F06N00,Federal national defense: Gross investment in intellectual property products,481000,Air transportation,3,0,0,0,0
