dig_code,dig_desc,sig_code,sig_desc
325190,Other basic organic chemical manufacturing,3250,Chemical products
325211,Plastics material and resin manufacturing,3250,Chemical products
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,3250,Chemical products
325310,Fertilizer manufacturing,3250,Chemical products
325320,Pesticide and other agricultural chemical manufacturing,3250,Chemical products
325411,Medicinal and botanical manufacturing,3250,Chemical products
325412,Pharmaceutical preparation manufacturing,3250,Chemical products
325413,In-vitro diagnostic substance manufacturing,3250,Chemical products
325414,Biological product (except diagnostic) manufacturing,3250,Chemical products
325510,Paint and coating manufacturing,3250,Chemical products
325520,Adhesive manufacturing,3250,Chemical products
325610,Soap and cleaning compound manufacturing,3250,Chemical products
325620,Toilet preparation manufacturing,3250,Chemical products
325910,Printing ink manufacturing,3250,Chemical products
3259A0,All other chemical product and preparation manufacturing,3250,Chemical products
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,3260,Plastics and rubber products
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",3260,Plastics and rubber products
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",3260,Plastics and rubber products
326140,Polystyrene foam product manufacturing,3260,Plastics and rubber products
326150,Urethane and other foam product (except polystyrene) manufacturing,3260,Plastics and rubber products
326160,Plastics bottle manufacturing,3260,Plastics and rubber products
326190,Other plastics product manufacturing,3260,Plastics and rubber products
326210,Tire manufacturing,3260,Plastics and rubber products
326220,Rubber and plastics hoses and belting manufacturing,3260,Plastics and rubber products
326290,Other rubber product manufacturing,3260,Plastics and rubber products
420000,Wholesale trade,4200,Wholesale trade
441000,Motor vehicle and parts dealers,44RT,Retail trade
445000,Food and beverage stores,44RT,Retail trade
452000,General merchandise stores,44RT,Retail trade
4A0000,Other retail,44RT,Retail trade
481000,Air transportation,4810,Air transportation
482000,Rail transportation,4820,Rail transportation
483000,Water transportation,4830,Water transportation
484000,Truck transportation,4840,Truck transportation
485000,Transit and ground passenger transportation,4850,Transit and ground passenger transportation
486000,Pipeline transportation,4860,Pipeline transportation
48A000,Scenic and sightseeing transportation and support activities for transportation,487S,Other transportation and support activities
492000,Couriers and messengers,487S,Other transportation and support activities
493000,Warehousing and storage,4930,Warehousing and storage
511110,Newspaper publishers,5110,"Publishing industries, except internet (includes software)"
511120,Periodical Publishers,5110,"Publishing industries, except internet (includes software)"
511130,Book publishers,5110,"Publishing industries, except internet (includes software)"
5111A0,"Directory, mailing list, and other publishers",5110,"Publishing industries, except internet (includes software)"
511200,Software publishers,5110,"Publishing industries, except internet (includes software)"
512100,Motion picture and video industries,5120,Motion picture and sound recording industries
512200,Sound recording industries,5120,Motion picture and sound recording industries
515100,Radio and television broadcasting,5130,Broadcasting and telecommunications
515200,Cable and other subscription programming,5130,Broadcasting and telecommunications
517110,Wired telecommunications carriers,5130,Broadcasting and telecommunications
517210,Wireless telecommunications carriers (except satellite),5130,Broadcasting and telecommunications
