peq_code,peq_desc,dig_code,dig_desc,pro,tra,who,ret,pur
41,"Electrical equipment, not elsewhere classified",335210,Small electrical appliance manufacturing,249,42,35,0,326
41,"Electrical equipment, not elsewhere classified",335221,Household cooking appliance manufacturing,21,0,3,0,25
41,"Electrical equipment, not elsewhere classified",335222,Household refrigerator and home freezer manufacturing,136,4,19,0,158
41,"Electrical equipment, not elsewhere classified",335224,Household laundry equipment manufacturing,238,5,33,0,276
41,"Electrical equipment, not elsewhere classified",335228,Other major household appliance manufacturing,43,1,6,0,50
41,"Electrical equipment, not elsewhere classified",335911,Storage battery manufacturing,297,5,43,0,345
41,"Electrical equipment, not elsewhere classified",335930,Wiring device manufacturing,57,1,6,0,64
41,"Electrical equipment, not elsewhere classified",335999,All other miscellaneous electrical equipment and component manufacturing,1332,22,372,0,1726
41,"Electrical equipment, not elsewhere classified",541300,"Architectural, engineering, and related services",335,0,0,0,335
41,"Electrical equipment, not elsewhere classified",S00402,Used and secondhand goods,7,11,3,0,20
44,Other,332200,Cutlery and handtool manufacturing,2,0,1,5,8
44,Other,333111,Farm machinery and equipment manufacturing,1827,51,497,0,2375
44,Other,333112,Lawn and garden equipment manufacturing,5752,160,1357,9030,16298
44,Other,33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",37,1,19,0,56
44,Other,336213,Motor home manufacturing,191,3,3,219,416
44,Other,336214,Travel trailer and camper manufacturing,868,12,13,56,949
44,Other,336991,"Motorcycle, bicycle, and parts manufacturing",312,5,33,49,399
44,Other,336999,All other transportation equipment manufacturing,1281,16,69,406,1771
44,Other,339920,Sporting and athletic goods manufacturing,1715,319,602,0,2635
44,Other,339950,Sign manufacturing,8213,1363,1619,0,11195
44,Other,339990,All other miscellaneous manufacturing,6152,1144,3850,238,11384
44,Other,313200,Fabric mills,4,0,1,5,10
44,Other,314110,Carpet and rug mills,3458,177,1144,4863,9642
44,Other,326140,Polystyrene foam product manufacturing,0,0,0,0,0
44,Other,326150,Urethane and other foam product (except polystyrene) manufacturing,23,1,14,38,75
44,Other,326290,Other rubber product manufacturing,16,0,2,18,36
