M1N21201AE30.A,0,0,0
M1N21201AE40.A,0,0,0
M1N21201AE50.A,0,0,0
M1N21301EQ00.A,4949,10236,11681
M1N21301EP1A.A,5,19,21
M1N21301EP1B.A,59,140,126
M1N21301EP1C.A,0,0,0
M1N21301EP1D.A,13,24,20
M1N21301EP1E.A,9,17,19
M1N21301EP1F.A,0,0,0
M1N21301EP1G.A,6,17,20
M1N21301EP1H.A,28,78,75
M1N21301EP20.A,161,166,98
M1N21301EP34.A,0,0,0
M1N21301EP35.A,2,13,15
M1N21301EP36.A,174,115,81
M1N21301EP31.A,12,21,23
M1N21301EP12.A,5,5,4
M1N21301EI11.A,0,0,0
M1N21301EI12.A,138,153,103
M1N21301EI21.A,0,0,0
M1N21301EI22.A,20,11,5
M1N21301EI30.A,37,43,28
M1N21301EI40.A,0,0,0
M1N21301EI50.A,582,683,575
M1N21301EI60.A,177,200,161
M1N21301ET11.A,250,361,375
M1N21301ET12.A,247,709,1031
M1N21301ET20.A,115,108,107
M1N21301ET30.A,23,21,14
M1N21301ET40.A,520,1045,1012
M1N21301ET50.A,0,0,0
M1N21301EO11.A,0,0,0
M1N21301EO12.A,84,101,104
M1N21301EO30.A,0,0,0
M1N21301EO21.A,0,0,0
M1N21301EO40.A,405,454,447
M1N21301EO22.A,23,65,70
M1N21301EO50.A,1520,5272,6897
M1N21301EO60.A,27,46,38
M1N21301EO71.A,0,0,0
M1N21301EO72.A,6,5,2
M1N21301EO80.A,301,344,212
M1N21301ST00.A,2956,3330,3381
M1N21301SOO1.A,90,122,171
M1N21301SB31.A,0,0,0
M1N21301SB32.A,0,0,0
M1N21301SOO2.A,0,0,0
M1N21301SC03.A,0,0,0
M1N21301SC04.A,0,0,0
M1N21301SC01.A,8,12,14
M1N21301SOMO.A,11,12,13
M1N21301SC02.A,2,12,25
M1N21301SI00.A,33,244,472
M1N21301SU30.A,5,6,6
M1N21301SU60.A,0,1,8
M1N21301SU40.A,18,47,52
M1N21301SU50.A,5,21,30
M1N21301SU20.A,0,0,0
M1N21301SM01.A,2776,2836,2567
M1N21301SM02.A,3,6,9
M1N21301SB10.A,0,0,0
M1N21301SB20.A,0,0,0
M1N21301SB41.A,0,0,0
M1N21301SB42.A,0,0,0
M1N21301SB43.A,0,1,3
M1N21301SB45.A,0,1,1
