dig_code,dig_desc,q
336350,Motor vehicle transmission and power train parts manufacturing,36665
336360,Motor vehicle seating and interior trim manufacturing,19342
336370,Motor vehicle metal stamping,27894
336390,Other Motor Vehicle Parts Manufacturing,47490
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",21004
336411,Aircraft manufacturing,86130
336412,Aircraft engine and engine parts manufacturing,32323
336413,Other aircraft parts and auxiliary equipment manufacturing,30430
336414,Guided missile and space vehicle manufacturing,12131
33641A,Propulsion units and parts for space vehicles and guided missiles,4714
336500,Railroad rolling stock manufacturing,12326
336611,Ship building and repairing,17387
336612,Boat building,10294
336991,"Motorcycle, bicycle, and parts manufacturing",6311
336992,"Military armored vehicle, tank, and tank component manufacturing",11165
336999,All other transportation equipment manufacturing,8329
337110,Wood kitchen cabinet and countertop manufacturing,18605
337121,Upholstered household furniture manufacturing,12534
337122,Nonupholstered wood household furniture manufacturing,6938
337127,Institutional furniture manufacturing,5812
33712N,Other household nonupholstered furniture,3360
337215,"Showcase, partition, shelving, and locker manufacturing",8336
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,18006
337900,Other furniture related product manufacturing,9161
339112,Surgical and medical instrument manufacturing,29398
339113,Surgical appliance and supplies manufacturing,30708
339114,Dental equipment and supplies manufacturing,4363
339115,Ophthalmic goods manufacturing,7643
339116,Dental laboratories,4478
339910,Jewelry and silverware manufacturing,15836
339920,Sporting and athletic goods manufacturing,12802
339930,"Doll, toy, and game manufacturing",3077
339940,Office supplies (except paper) manufacturing,4961
339950,Sign manufacturing,9213
339990,All other miscellaneous manufacturing,29233
311111,Dog and cat food manufacturing,14035
311119,Other animal food manufacturing,25011
311210,Flour milling and malt manufacturing,12900
311221,Wet corn milling,9760
311225,Fats and oils refining and blending,12822
311224,Soybean and other oilseed processing,20496
311230,Breakfast cereal manufacturing,8692
311300,Sugar and confectionery product manufacturing,27482
311410,Frozen food manufacturing,24957
311420,"Fruit and vegetable canning, pickling, and drying",34053
311513,Cheese manufacturing,29849
311514,"Dry, condensed, and evaporated dairy product manufacturing",14446
31151A,Fluid milk and butter manufacturing,31882
311520,Ice cream and frozen dessert manufacturing,9022
311615,Poultry processing,49297
31161A,"Animal (except poultry) slaughtering, rendering, and processing",107325
311700,Seafood product preparation and packaging,10130
311810,Bread and bakery product manufacturing,42951
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",20580
311910,Snack food manufacturing,24192
311920,Coffee and tea manufacturing,7358
311930,Flavoring syrup and concentrate manufacturing,11146
311940,Seasoning and dressing manufacturing,14044
311990,All other food manufacturing,19396
312110,Soft drink and ice manufacturing,42696
312120,Breweries,24033
312130,Wineries,13014
312140,Distilleries,11187
312200,Tobacco product manufacturing,52960
313100,"Fiber, yarn, and thread mills",5541
313200,Fabric mills,13706
313300,Textile and fabric finishing and fabric coating mills,10732
314110,Carpet and rug mills,14730
314120,Curtain and linen mills,4329
