dig_code,intermed,gos
624100,23705,43
624400,11991,12832
624A00,17487,443
711100,9246,4365
711200,12855,5403
711500,7210,12653
711A00,15744,5928
712000,6014,1598
713100,6343,4374
713200,13195,6411
713900,33492,4600
721000,68321,41703
722110,103814,22787
722211,124255,22944
722A00,21913,4062
811100,45805,14254
811200,6343,579
811300,9714,2783
811400,4848,10348
812100,22029,16021
812200,5589,3700
812300,11937,638
812900,16605,18456
813100,58826,6119
813A00,6191,6509
813B00,15963,2626
814000,NA,NA
S00500,218877,129590
S00600,85969,77088
491000,21763,-1161
S00101,6443,4147
S00102,5028,5279
GSLGE,181609,51339
GSLGH,97501,11886
GSLGO,299237,82210
S00201,15480,-28825
S00202,19187,6759
S00203,94709,47839
