dig_code,dig_desc,x
332430,"Metal can, box, and other metal container (light gauge) manufacturing",17161
332500,Hardware manufacturing,9248
332600,Spring and wire product manufacturing,9147
332710,Machine shops,37173
332720,"Turned product and screw, nut, and bolt manufacturing",24272
332800,"Coating, engraving, heat treating and allied activities",26840
332913,Plumbing fixture fitting and trim manufacturing,4386
33291A,Valve and fittings other than plumbing,24360
332991,Ball and roller bearing manufacturing,7488
332996,Fabricated pipe and pipe fitting manufacturing,7348
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",8470
332999,Other fabricated metal manufacturing,18301
333111,Farm machinery and equipment manufacturing,21293
333112,Lawn and garden equipment manufacturing,7137
333120,Construction machinery manufacturing,33455
333130,Mining and oil and gas field machinery manufacturing,20664
333242,Semiconductor machinery manufacturing,14619
33329A,Other industrial machinery manufacturing,26188
333314,Optical instrument and lens manufacturing,4469
333316,Photographic and photocopying equipment manufacturing,2419
333318,Other commercial and service industry machinery manufacturing,18344
333414,Heating equipment (except warm air furnaces) manufacturing,4955
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",30284
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,5535
333511,Industrial mold manufacturing,5784
333514,"Special tool, die, jig, and fixture manufacturing",7817
333517,Machine tool manufacturing,6602
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",8384
333611,Turbine and turbine generator set units manufacturing,9585
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3453
333613,Mechanical power transmission equipment manufacturing,4178
333618,Other engine equipment manufacturing,25467
333912,Air and gas compressor manufacturing,9438
33391A,Pump and pumping equipment manufacturing,13427
333920,Material handling equipment manufacturing,27384
333991,Power-driven handtool manufacturing,2431
333993,Packaging machinery manufacturing,4334
333994,Industrial process furnace and oven manufacturing,2418
33399A,Other general purpose machinery manufacturing,17715
33399B,Fluid power process machinery,9156
334111,Electronic computer manufacturing,48280
334112,Computer storage device manufacturing,9163
334118,Computer terminals and other computer peripheral equipment manufacturing,15700
334210,Telephone apparatus manufacturing,23720
334220,Broadcast and wireless communications equipment,46012
334290,Other communications equipment manufacturing,5995
334413,Semiconductor and related device manufacturing,78393
334418,Printed circuit assembly (electronic assembly) manufacturing,24250
33441A,Other electronic component manufacturing,31612
334510,Electromedical and electrotherapeutic apparatus manufacturing,26249
334511,"Search, detection, and navigation instruments manufacturing",51158
334512,Automatic environmental control manufacturing,3414
334513,Industrial process variable instruments manufacturing,10267
334514,Totalizing fluid meter and counting device manufacturing,5838
334515,Electricity and signal testing instruments manufacturing,13384
334516,Analytical laboratory instrument manufacturing,13733
334517,Irradiation apparatus manufacturing,5705
33451A,"Watch, clock, and other measuring and controlling device manufacturing",10286
334300,Audio and video equipment manufacturing,14402
334610,Manufacturing and reproducing magnetic and optical media,6870
335110,Electric lamp bulb and part manufacturing,2083
335120,Lighting fixture manufacturing,11275
335210,Small electrical appliance manufacturing,3563
335221,Household cooking appliance manufacturing,4114
335222,Household refrigerator and home freezer manufacturing,5716
335224,Household laundry equipment manufacturing,3746
335228,Other major household appliance manufacturing,4574
335311,"Power, distribution, and specialty transformer manufacturing",7464
335312,Motor and generator manufacturing,12417
335313,Switchgear and switchboard apparatus manufacturing,10525
335314,Relay and industrial control manufacturing,11113
335911,Storage battery manufacturing,5701
335912,Primary battery manufacturing,3087
335920,Communication and energy wire and cable manufacturing,16038
335930,Wiring device manufacturing,12580
335991,Carbon and graphite product manufacturing,2671
335999,All other miscellaneous electrical equipment and component manufacturing,9624
336111,Automobile manufacturing,87629
336112,Light truck and utility vehicle manufacturing,161441
336120,Heavy duty truck manufacturing,21571
336211,Motor vehicle body manufacturing,11383
336212,Truck trailer manufacturing,7218
336213,Motor home manufacturing,5604
336214,Travel trailer and camper manufacturing,10594
336310,Motor vehicle gasoline engine and engine parts manufacturing,27906
336320,Motor vehicle electrical and electronic equipment manufacturing,19816
336350,Motor vehicle transmission and power train parts manufacturing,36605
336360,Motor vehicle seating and interior trim manufacturing,20445
336370,Motor vehicle metal stamping,30612
336390,Other Motor Vehicle Parts Manufacturing,49981
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",22280
336411,Aircraft manufacturing,101332
336412,Aircraft engine and engine parts manufacturing,38186
336413,Other aircraft parts and auxiliary equipment manufacturing,33367
336414,Guided missile and space vehicle manufacturing,16291
33641A,Propulsion units and parts for space vehicles and guided missiles,5911
336500,Railroad rolling stock manufacturing,12762
336611,Ship building and repairing,18379
336612,Boat building,10673
336991,"Motorcycle, bicycle, and parts manufacturing",6618
336992,"Military armored vehicle, tank, and tank component manufacturing",11471
336999,All other transportation equipment manufacturing,8724
337110,Wood kitchen cabinet and countertop manufacturing,19353
337121,Upholstered household furniture manufacturing,13165
